,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
新北市,,,3954929,3966818,3970644,3979208,3986689,3995717,4018696,4030954
臺北市,,,2686516,2702315,2704810,2695704,2683257,2668572,2645014,2602418
桃園市,,,2701661,2058328,2105780,2147763,2188017,2220872,2249037,2268807
臺中市,,,,2719835,2744445,2767239,2787070,2803894,2815261,2820787
臺南市,,,,1884284,1885541,1886033,1886522,1883831,1880906,1874917
高雄市,,,,2778992,2778918,2779371,2776912,2773533,2773198,2765932
宜蘭縣,,,,458777,458117,457538,456607,455221,454178,453087
新竹市,,,,537630,542042,547481,552169,557010,563933,451412
苗栗縣,,,,567132,563912,559189,553807,548863,545459,542590
彰化縣,,,,1291474,1289072,1287146,1282458,1277824,1272802,1266670
嘉義縣,,,,524783,519839,515320,511182,507068,503113,499481
屏東縣,,,,847917,841253,835792,829939,825406,819184,812658
基隆市,,,,373077,372105,372100,371458,370155,368893,367577
嘉義市,,,,270883,270366,269874,269398,268622,267690,266005
